,Raw,P5(l<1000),P5(l<1000)+P5(l<500)
350.0,0.9215365236549973,0.8639728916918405,0.8325799072151587
351.0,0.8742713398677284,0.8650629422582179,0.8349893500524155
352.0,0.9221601215448848,0.8661453987860781,0.8373435116744232
353.0,0.8791609734368985,0.8672202998847538,0.8396437607410803
354.0,0.8431283779475603,0.8682876840465021,0.841891440031278
355.0,0.8447057596539229,0.8693475896466487,0.8440878667012419
356.0,0.8651985601020381,0.8704000549437301,0.846234332543006
357.0,0.9057768693153114,0.8714451180796376,0.8483321042426968
358.0,0.8991238639670449,0.8724828170797616,0.8503824236389315
359.0,0.8534069900543081,0.8735131898531325,0.8523865079813409
360.0,0.8670727215101165,0.8745362741925662,0.8543455501887907
361.0,0.8700578138931351,0.8755521077748056,0.8562607191078981
362.0,0.8525910979573831,0.876560728160666,0.858133159771445
363.0,0.8304246082876042,0.8775621727951761,0.8599639936565455
364.0,0.8787385953023716,0.8785564790077232,0.8617543189432937
365.0,0.8661809688633683,0.8795436840121953,0.8635052107730745
366.0,0.830967970512193,0.8805238249071248,0.8652177215069468
367.0,0.8680854231147773,0.8814969386758318,0.8668928809839624
368.0,0.912099396259664,0.8824630621865674,0.8685316967796561
369.0,0.9116335838351565,0.8834222321926573,0.8701351544644493
370.0,0.8821098029017602,0.8843744853326445,0.8717042178619483
371.0,0.908154596463055,0.8853198581304322,0.8732398293074464
372.0,0.8899846343788063,0.8862583869954288,0.874742909906217
373.0,0.8638814201465632,0.8871901082226898,0.8762143597918737
374.0,0.8683102589906823,0.888115057993061,0.8776550583850584
375.0,0.8911306976654377,0.889033272373323,0.8790658646513569
376.0,0.8923188941053523,0.8899447873163331,0.880447617360071
377.0,0.8841197283851666,0.8908496386611695,0.8818011353425241
378.0,0.8893156721545369,0.8917478621332744,0.8831272177503802
379.0,0.8845963758802305,0.8926394933445967,0.8844266443139763
380.0,0.8865857765992246,0.8935245677937365,0.8857001756009699
381.0,0.8918090407155663,0.8944031208660874,0.8869485532744079
382.0,0.8814178490487866,0.8952751878339802,0.8881725003514438
383.0,0.8829511083277191,0.8961408038568257,0.8893727214614648
384.0,0.8929985292699943,0.8970000039812591,0.8905499031045396
385.0,0.901446087556889,0.8978528231412817,0.8917047139100269
386.0,0.8934331321231039,0.8986992961584055,0.8928378048946546
387.0,0.9004255807012668,0.8995394577417966,0.8939498097210941
388.0,0.9063949302546527,0.9003733424884173,0.895041344956307
389.0,0.8927991238064442,0.9012009848831697,0.8961130103300137
390.0,0.8959900953406076,0.9020224192990409,0.8971653889928999
391.0,0.8976563886609357,0.9028376799972431,0.8981990477752031
392.0,0.8984600319382211,0.9036468011273591,0.8992145374450267
393.0,0.9098763622047406,0.9044498167274853,0.900212392966715
394.0,0.9069170000542558,0.9052467607243742,0.9011931337592713
395.0,0.9000660344484913,0.9060376669335797,0.9021572639547359
396.0,0.899189793914241,0.9068225690595959,0.9031052726565356
397.0,0.9063873022453317,0.907601500696007,0.9040376341980227
398.0,0.9120246219265704,0.9083744953256245,0.904954808400696
399.0,0.9165384475077007,0.9091415863206342,0.9058572408326646
400.0,0.9206284755297601,0.9099028069427373,0.906745363067186
401.0,0.9196893008405553,0.9106581903432964,0.9076195929406321
402.0,0.9179467432214604,0.9114077695634746,0.9084803348114361
403.0,0.9156330919855493,0.9121515775343836,0.9093279798180403
404.0,0.9115238345160696,0.9128896470772234,0.9101629061375733
405.0,0.9185554991009972,0.9136220109034277,0.9109854792440579
406.0,0.9197957142504178,0.9143487016148046,0.9117960521668482
407.0,0.9100425265915102,0.9150697517036848,0.9125949657491377
408.0,0.9038517725810107,0.9157851935530588,0.9133825489061949
409.0,0.9155911868737081,0.9164950594367243,0.9141591188838492
410.0,0.9231021732220771,0.9171993815194284,0.9149249815169653
411.0,0.9107794872145254,0.9178981918570102,0.9156804314874136
412.0,0.9155184147268115,0.9185915223965462,0.9164257525830659
413.0,0.9161910538295318,0.919279404976491,0.9171612179558348
414.0,0.9165031224849681,0.919961871326821,0.9178870903800644
415.0,0.9293631396785972,0.9206389530691808,0.9186036225110512
416.0,0.923403205137882,0.9213106817170207,0.9193110571433145
417.0,0.9174907650465686,0.921977088675747,0.9200096274690435
418.0,0.9212926526427486,0.922638205242859,0.9206995573365304
419.0,0.9241014029055238,0.9232940626080965,0.9213810615085583
420.0,0.9287826567160063,0.923944691853581,0.9220543459206672
421.0,0.9313442053904251,0.92459012395396,0.9227196079396955
422.0,0.9287615523024942,0.9252303897765486,0.9233770366221321
423.0,0.9230255987222358,0.925865520081476,0.9240268129723819
424.0,0.9238902734023323,0.9264955455218256,0.924669110201465
425.0,0.9292374100466999,0.9271204966437796,0.9253040939849757
426.0,0.9307027000901846,0.9277404038867627,0.925931922721912
427.0,0.9275579840312981,0.9283552975835845,0.9265527477926396
428.0,0.9264604650894454,0.9289652079605839,0.9271667138178226
429.0,0.9292057376704984,0.9295701651377708,0.927773958916229
430.0,0.9303932292942358,0.9301701991289713,0.9283746149635499
431.0,0.9329509252122826,0.9307653398419697,0.9289688078506027
432.0,0.9350019980113002,0.9313556170786519,0.9295566577416856
433.0,0.9346845782737582,0.9319410605351481,0.9301382793331245
434.0,0.9332483631295131,0.9325216998019792,0.930713782111537
435.0,0.9344609696798821,0.933097564364195,0.9312832706123602
436.0,0.9368247637929477,0.9336686836015229,0.9318468446780539
437.0,0.9364352145717835,0.9342350867885072,0.9324045997166932
438.0,0.9386457230185513,0.9347968030946536,0.932956626960139
439.0,0.9388993579027824,0.9353538615845729,0.9335030137226206
440.0,0.9366576556859096,0.9359062912181251,0.934043843659105
441.0,0.9385220397741639,0.9364541208505599,0.9345791970235069
442.0,0.9395896213614318,0.9369973792326636,0.9351091509274088
443.0,0.9388980912923454,0.9375360950108986,0.9356337795980709
444.0,0.937296600722693,0.9380702967275503,0.9361531546371729
445.0,0.9383736399203535,0.9386000128208685,0.9366673452789818
446.0,0.9384033298518327,0.9391252716252099,0.9371764186487626
447.0,0.9391743656927531,0.9396461013711832,0.9376804400212126
